ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(Â°C),Water Temp(Â°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
432728931,Photo,Long-eared Owl,Asio otus,,Matt M.,2022-03-29,2022.0,3.0,29.0,1720.0,Canada,CA-ON-OT,Ontario,Ottawa,Ottawa--Parkside Greenspace,45.3393479,-75.7385124,,,Unspecified,,,,,,,,,S105876651,,,,,Pictures.,Asio otus,loeowl,Species,9045.0,,0.0,0.0,,1914.0,1316.0
613453727,Photo,Long-eared Owl,Asio otus,,Todd Hull,2024-01-13,2024.0,1.0,13.0,1126.0,South Korea,KR-44,Chungcheongnamdo,,ìì° ê°ìí¸(Seosan Lake A-General Area),36.6430797,126.4526367,,,Unspecified,,,,,,,,,S158773393,,,,,,Asio otus,loeowl,Species,9045.0,,0.0,0.0,,1956.0,1733.0
611704778,Photo,Wood Duck,Aix sponsa,,Bill Ostrander,2023-11-29,2023.0,11.0,29.0,1014.0,United States,US-NY-015,New York,Chemung,Sullivanville Dam,42.1930881,-76.7819872,Adult Male â 1,,Unspecified,,,,,,,,,S155446904,,,,,,Aix sponsa,wooduc,Species,433.0,,0.0,0.0,,594.0,996.0
412117031,Photo,American Bittern,Botaurus lentiginosus,,Cathy Beck,2022-02-01,2022.0,2.0,1.0,834.0,United States,US-AZ-019,Arizona,Pima,Sweetwater Wetlands,32.278549,-111.022495,,,Unspecified,,,,,,,,,S101874957,,,,,"Streaks on chest, white throat. Brown back and green legs.  Finally saw it when Byron alerted his wife Mary to where it was creeping out of the reeds at the SE corner of the east pond. We watched it puff itself out. Since I was taking pictures, I couldnât tell if it was trying to catch something in the air or making itself large for an overhead predator. Pictures show it puffed up and then going into freeze frame mode.",Botaurus lentiginosus,amebit,Species,7335.0,,4.5,2.0,,1271.0,1665.0
563444621,Photo,Common Myna,Acridotheres tristis,,Liu JYUN-FU,2023-04-27,2023.0,4.0,27.0,1014.0,Taiwan,TW-KHH,Kaohsiung City,,ææ´¥é¢¨è»å¬å,22.5876053,120.2856223,,,Unspecified,,,,,,,,,S135137556,,,,,,Acridotheres tristis,commyn,Species,27402.0,,4.5,2.0,,2490.0,3603.0
614452910,Photo,Glossy Ibis,Plegadis falcinellus,,Ethan Brown,2022-05-01,2022.0,5.0,1.0,1045.0,United States,US-IA-097,Iowa,Jackson,Green Island WMA,42.1616848,-90.286792,,,Unspecified,,,,,,,,,S160734471,,,,,LIFER!,Plegadis falcinellus,gloibi,Species,7551.0,,2.33,3.0,,745.0,1117.0
610701093,Photo,Long-eared Owl,Asio otus,,Simon  Cooper,,,,,,United Kingdom,GB-ENG-WKF,England,West Yorkshire,,,,,,Unspecified,,,,,,,,,,,,,,,Asio otus,loeowl,Species,9045.0,,0.0,0.0,,936.0,1404.0
508623681,Photo,American Bittern,Botaurus lentiginosus,,Claudia Nielson,2022-11-25,2022.0,11.0,25.0,1025.0,United States,US-SC-043,South Carolina,Georgetown,Huntington Beach SP--Mullet Pond,33.5075867,-79.0691809,,,Unspecified,,,,,,,,,S122986604,,,,,,Botaurus lentiginosus,amebit,Species,7335.0,,4.6,10.0,,1803.0,3205.0
598799911,Photo,Long-eared Owl (Eurasian),Asio otus otus/canariensis,,Tony King,,,,,,United Kingdom,GB-ENG-KEN,England,Kent,,,,Juvenile â 1,,Unspecified,,,,,,,,,,,,,,,Asio otus,loeowl2,Group,9049.0,,4.0,1.0,,3672.0,4896.0
549989201,Photo,Northern Royal Albatross,Diomedea sanfordi,,Arnold Skei,2023-02-23,2023.0,2.0,23.0,830.0,Chile,CL-BI-LEB,BÃ­o-BÃ­o,Lebu,Oosterdam Cruiseâ2023âheading north,-38.1813,-74.1932,,,Unspecified,,,,,,,,,S131922790,,,,,,Diomedea sanfordi,royalb3,Species,6813.0,,3.0,1.0,,688.0,1032.0
613382366,Photo,Wood Duck,Aix sponsa,,Stinky Bird,2024-01-10,2024.0,1.0,10.0,1054.0,United States,US-CO-059,Colorado,Jefferson,Clear Creek Trail--Golden to I-70,39.7724276,-105.1514822,,,Unspecified,,,,,,,,,S158578753,,,,,,Aix sponsa,wooduc,Species,433.0,,5.0,1.0,,2960.0,4429.0
606551931,Photo,Glossy Ibis,Plegadis falcinellus,,A W,2023-08-24,2023.0,8.0,24.0,1601.0,Poland,PL-SL,Slaskie,,ÅÄka Lake,49.9673255,18.8506761,,,Unspecified,,,,,,,,,S147991153,,,,,Foto,Plegadis falcinellus,gloibi,Species,7551.0,,0.0,0.0,,406.0,609.0
548070391,Photo,Snowy Owl,Bubo scandiacus,,Robert Mead,2023-03-21,2023.0,3.0,21.0,1330.0,United States,US-WI-009,Wisconsin,Brown,Eastern Brown Co farm fields,44.5101872,-87.7672355,,,Unspecified,,,,,,,,,S131475930,,,,,"two birds of similar plumage on the perch on the ground about 1/4 mile apart. white with dark bars on back, belly and head.",Bubo scandiacus,snoowl1,Species,8704.0,,3.0,1.0,,3024.0,4032.0
610485826,Photo,Limpkin,Aramus guarauna,,John Harty,2023-10-28,2023.0,10.0,28.0,1029.0,United States,US-GA-151,Georgia,Henry,Clayton Co. Water Authority--Lake Blalock (Henry Co.) (limited access),33.4841686,-84.2789641,,,Unspecified,,,,,,,,,S153269924,,,,,Continuing with photos,Aramus guarauna,limpki,Species,5642.0,,0.0,0.0,,2752.0,4896.0
615649296,Photo,Common Loon,Gavia immer,,Michael Rogers,2024-03-04,2024.0,3.0,4.0,904.0,United States,US-CA-085,California,Santa Clara,Sunnyvale WPCP--Pond A4,37.4219806,-122.007637,,,Unspecified,,,,,,,,,S163740847,,,,,Continuing bird in southeast corner of pond. Digiscoped images uploaded.,Gavia immer,comloo,Species,6774.0,,0.0,0.0,,1241.0,1683.0
539031011,Photo,Snowy Owl,Bubo scandiacus,,ann carter,2017-02-04,2017.0,2.0,4.0,1615.0,Canada,CA-AB-TE,Alberta,Camrose-Lloydminister,Bittern Lake,53.041213,-113.0669117,,,Unspecified,,,,,,,,,S34162376,,,,,,Bubo scandiacus,snoowl1,Species,8704.0,,5.0,2.0,,857.0,1200.0
345842711,Photo,Razorbill,Alca torda,,Nancy Christensen,2021-06-05,2021.0,6.0,5.0,650.0,United States,US-ME-029,Maine,Washington,Petit Manan NWR--Petit Manan Island,44.367175,-67.864624,,,Unspecified,,,,,,,,,S89739748,,,,,,Alca torda,razorb,Species,6372.0,,3.5,2.0,,987.0,1480.0
611676659,Photo,Limpkin (Speckled),Aramus guarauna [pictus Group],,Chuck Cantrell,2023-09-01,2023.0,9.0,1.0,800.0,United States,US-LA-039,Louisiana,Evangeline,Chicot State Park and Arboretum,30.7984788,-92.2778839,,,Unspecified,,,,,,,,,S155402568,,,,,Limpkin was circling submerged trees foraging for freshwater mussels,Aramus guarauna,limpki1,Group,5643.0,,0.0,0.0,,1365.0,2048.0
407578271,Photo,Razorbill,Alca torda,,Marta Mesa Artabe,2022-01-19,2022.0,1.0,19.0,1333.0,Spain,ES-PV-VZ,PaÃ­s Vasco,Bizkaia,Getxo--Espigon,43.3411308,-3.0195679,,,Unspecified,,,,,,,,,S101029910,,,,,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Twz7X0jXWgU"" frameborder=""0""></iframe>",Alca torda,razorb,Species,6372.0,,3.0,2.0,,2463.0,3729.0
611537325,Photo,Limpkin,Aramus guarauna,,Elaine Grose,2023-11-25,2023.0,11.0,25.0,735.0,United States,US-FL-095,Florida,Orange,Mead Botanical Gardens,28.5836,-81.3586,,Foraging or Eating,Unspecified,,,,,,,,,S155174573,,,,,,Aramus guarauna,limpki,Species,5642.0,,0.0,0.0,,3456.0,4608.0
593981561,Photo,Common Myna,Acridotheres tristis,,Tanuja Reddy,2023-06-23,2023.0,6.0,23.0,900.0,India,IN-SK-ES,Sikkim,East Sikkim,Gangtok--General Area,27.3413889,88.6141389,,,Unspecified,,,,,,,,,S144473882,,,,,,Acridotheres tristis,commyn,Species,27402.0,,3.0,1.0,,6336.0,9504.0
61804711,Photo,American Bittern,Botaurus lentiginosus,,Patricia Folsom,2017-06-24,2017.0,6.0,24.0,700.0,United States,US-VT-023,Vermont,Washington,Folsom  Knoll,44.1402032,-72.8081882,,,Unspecified,,,,,,,,,S37774235,,,,,,Botaurus lentiginosus,amebit,Species,7335.0,,4.67,3.0,,3000.0,4000.0
611608883,Photo,Limpkin,Aramus guarauna,,Jason Shaw,2023-11-26,2023.0,11.0,26.0,1200.0,United States,US-MI-157,Michigan,Tuscola,"stakeout Limpkin (2023), Quanicassee",43.576709,-83.687632,,,Unspecified,,,,,,,,,S155291319,,,,,See pics,Aramus guarauna,limpki,Species,5642.0,,0.0,0.0,,3392.0,4081.0
519073931,Photo,Long-eared Owl,Asio otus,,Jon (Yonatan) Rubins,,,,,,United States,US-CO-005,Colorado,Arapahoe,,,,,,Unspecified,,,,,,,,,,,,,,,Asio otus,loeowl,Species,9045.0,,4.5,2.0,,3456.0,4608.0
611677098,Photo,Limpkin,Aramus guarauna,,mark cavallo,2023-11-28,2023.0,11.0,28.0,855.0,Belize,BZ-BZ,Belize,,Crooked Tree Wildlife Sanctuary--Northern Lagoon (south of causeway),17.7625392,-88.5249138,,,Unspecified,,,,,,,,,S155379899,,,,,,Aramus guarauna,limpki,Species,5642.0,,0.0,0.0,,2037.0,2281.0
